J7,lambda_K2,E0,r3,switched
-0.4,0.03,4.0,0.9691442895638369,0
-0.4,0.04,16.0,0.9691966876668477,0
-0.45,0.04,7.0,0.9802134010137644,0
-0.45,0.02,1.0,0.9801740332925143,0
-0.4,0.08,16.0,0.9690897979034283,0
-0.4,0.03,12.0,0.9691937211001462,0
-0.4,0.05,3.0,0.9691074002489334,0
-0.45,0.04,12.0,0.9802525040899585,0
-0.45,0.03,10.0,0.9802467081971747,0
-0.45,0.08,2.0,0.9801534607890712,0
-0.45,0.04,5.0,0.9801680443400423,0
-0.45,0.03,6.0,0.9801780720598606,0
-0.4,0.03,7.0,0.9691501216869132,0
-0.4,0.06,7.0,0.9691008054815657,0
-0.5,0.02,8.0,0.9856933310705777,0
-0.4,0.02,3.0,0.9690759965556591,0
-0.5,0.03,16.0,0.9857745115277591,0
-0.45,0.04,10.0,0.9802230786876683,0
-0.4,0.01,7.0,0.9691119260528944,0
-0.45,0.04,4.0,0.9801691620968905,0
-0.45,0.02,2.0,0.9801331045376999,0
-0.45,0.05,1.0,0.9801623129711878,0
-0.5,0.02,10.0,0.9856738481755712,0
-0.4,0.01,3.0,0.9690999222229834,0
-0.4,0.01,16.0,0.0013014499376631107,1
-0.45,0.08,8.0,0.980145669825889,0
-0.4,0.03,16.0,0.9692366790158067,0
-0.5,0.02,1.0,0.9857337865121659,0
-0.45,0.05,3.0,0.9801602164045534,0
-0.45,0.08,6.0,0.9801437574795596,0
-0.45,0.02,16.0,0.9802759915056831,0
-0.45,0.04,16.0,0.980273520464169,0
-0.5,0.01,10.0,0.9857093704711976,0
-0.45,0.05,6.0,0.9801896523690385,0
-0.4,0.02,12.0,0.9692209283470992,0
-0.4,0.08,8.0,0.9691013986855215,0
-0.45,0.05,7.0,0.9801890658247484,0
-0.45,0.01,1.0,0.9801791316747481,0
-0.45,0.08,4.0,0.9801451203463218,0
-0.4,0.06,5.0,0.96910408490999,0
-0.4,0.04,7.0,0.9691483556273085,0
-0.4,0.02,6.0,0.9691786827234188,0
-0.4,0.04,10.0,0.9691554898085242,0
-0.4,0.03,5.0,0.9691391133659775,0
-0.5,0.02,6.0,0.9857219697413079,0
-0.5,0.03,10.0,0.9857435589447024,0
-0.4,0.04,1.0,0.9691298297184078,0
-0.5,0.03,8.0,0.9857060225927422,0
-0.45,0.01,7.0,0.9801141680079101,0
-0.45,0.06,6.0,0.9801668419503167,0
-0.4,0.06,6.0,0.9691014266340232,0
-0.45,0.01,16.0,0.9801602710237558,0
-0.4,0.04,5.0,0.9691170573614339,0
-0.45,0.01,2.0,0.980169010704394,0
-0.4,0.08,4.0,0.9691196663959968,0
-0.4,0.05,2.0,0.9691081384494795,0
-0.4,0.03,1.0,0.9691255689329765,0
-0.5,0.01,16.0,0.9856656264609223,0
-0.4,0.02,16.0,0.9692409703745996,0
-0.45,0.06,7.0,0.9801717330079736,0
-0.4,0.03,3.0,0.969122146328924,0
-0.4,0.08,6.0,0.9691102889089612,0
-0.5,0.04,3.0,0.985705568403562,0
-0.45,0.02,12.0,0.9802460590134574,0
-0.45,0.03,4.0,0.9801956192557567,0
-0.45,0.06,10.0,0.9801909518177778,0
-0.4,0.04,3.0,0.9691193924691069,0
-0.4,0.05,1.0,0.9691352270887726,0
-0.4,0.01,10.0,0.9692158574876955,0
-0.4,0.08,2.0,0.9691363847430517,0
-0.5,0.03,3.0,0.9856753748187562,0
-0.4,0.04,4.0,0.969115583243508,0
-0.4,0.08,3.0,0.9691238278426481,0
-0.4,0.05,5.0,0.9691125835666402,0
-0.45,0.01,12.0,0.9802372403373629,0
-0.45,0.02,5.0,0.9802024682005714,0
-0.5,0.04,5.0,0.9856857603751121,0
-0.45,0.03,7.0,0.9801898527386285,0
-0.5,0.01,1.0,0.9857376203800958,0
-0.5,0.04,4.0,0.9856979384335885,0
-0.45,0.03,16.0,0.9802927718919682,0
-0.4,0.02,4.0,0.9691253535509878,0
-0.45,0.03,8.0,0.9802175389417139,0
-0.4,0.05,12.0,0.9691378003555673,0
-0.4,0.05,8.0,0.9691186588632873,0
-0.45,0.06,12.0,0.9802064654168645,0
-0.5,0.02,7.0,0.9857127200341068,0
-0.4,0.01,4.0,0.969073048015948,0
-0.4,0.01,8.0,0.9691602124245745,0
-0.45,0.06,4.0,0.9801546028021351,0
-0.4,0.04,8.0,0.9691493567348803,0
-0.4,0.02,7.0,0.9691721878142842,0
-0.4,0.08,7.0,0.9691056266455216,0
-0.4,0.01,6.0,0.9690704025479584,0
-0.45,0.04,1.0,0.9801625128460291,0
-0.4,0.06,12.0,0.9691133079044386,0
-0.5,0.04,2.0,0.9856620536978522,0
-0.4,0.08,12.0,0.9690938591915634,0
-0.45,0.04,2.0,0.9801383054455773,0
-0.45,0.03,1.0,0.9801673964814032,0
-0.4,0.04,2.0,0.9691027779136341,0
-0.5,0.03,1.0,0.9857256610542071,0
-0.45,0.08,12.0,0.9801568631780414,0
-0.45,0.02,10.0,0.9801989269836866,0
-0.4,0.02,5.0,0.9691695555103764,0
-0.5,0.01,7.0,0.9856060885473455,0
-0.5,0.02,5.0,0.985703011280454,0
-0.4,0.01,5.0,0.9690569303556879,0
-0.4,0.06,1.0,0.9691378633324454,0
-0.5,0.01,6.0,0.9855969598152993,0
-0.45,0.03,2.0,0.9801151283966064,0
-0.45,0.05,12.0,0.9802258792775835,0
-0.45,0.08,3.0,0.9801436905514987,0
-0.45,0.02,7.0,0.9802068305342182,0
-0.45,0.01,5.0,0.9800819886073041,0
-0.45,0.05,10.0,0.9802184396845103,0
-0.4,0.02,10.0,0.9691794742937687,0
-0.4,0.02,1.0,0.9691261094375133,0
-0.45,0.04,3.0,0.9801770895167233,0
-0.5,0.02,16.0,0.9857546745924365,0
-0.5,0.01,8.0,0.9856411758028581,0
-0.45,0.05,16.0,0.9802558205199235,0
-0.4,0.08,10.0,0.9690972631946987,0
-0.4,0.02,2.0,0.9690944309632069,0
-0.45,0.08,16.0,0.9801685498991688,0
-0.5,0.02,3.0,0.9856326565450322,0
-0.4,0.03,8.0,0.9691733972246388,0
-0.4,0.05,16.0,0.9691575915104333,0
-0.45,0.05,8.0,0.980193458441163,0
-0.4,0.01,12.0,0.9692207737156926,0
-0.5,0.02,12.0,0.9857113147548829,0
-0.4,0.04,12.0,0.9691771844788764,0
-0.4,0.01,2.0,0.9691201090704483,0
-0.45,0.08,1.0,0.9801728871739075,0
-0.45,0.05,5.0,0.9801755418391828,0
-0.5,0.02,2.0,0.9856907303618464,0
-0.45,0.05,2.0,0.9801543153245743,0
-0.45,0.03,5.0,0.980186803862595,0
-0.5,0.03,5.0,0.9857055780033702,0
-0.45,0.06,2.0,0.9801545137190802,0
-0.4,0.05,6.0,0.9691188049292465,0
-0.4,0.06,10.0,0.9691059113691155,0
